stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
FRESNA-E,27900,"FRESNAIES",,47.448240,-0.500884,,,0,zone_FRESNAIES,,1
FRESNAIE,23491,"FRESNAIES",,47.448059,-0.500503,,,0,zone_FRESNAIES,,1
FRESN-AR,29527,"LE FRESNE",,47.442438,-0.583639,,,0,zone_LE_FRESNE,,0
FRESNE,32041,"LE FRESNE",,47.442446,-0.583651,,,0,zone_LE_FRESNE,,0
FRMEIL-E,27294,"MEILLAND",,47.448566,-0.546285,,,0,zone_MEILLAND,,1
FRMEILLA,24551,"MEILLAND",,47.447956,-0.546600,,,0,zone_MEILLAND,,0
FROMIO-E,678514,"LE FROMIOUX",,47.510080,-0.717030,,,0,zone_LE_FROMIOUX,,0
FROMIOUX,159425,"LE FROMIOUX",,47.508990,-0.714920,,,0,zone_LE_FROMIOUX,,0
FRONDEMA,22268,"FRONT DE MAINE",,47.472499,-0.566568,,,0,zone_FRONT_DE_MAINE,,1
FRONDM-E,13856,"FRONT DE MAINE",,47.472301,-0.566149,,,0,zone_FRONT_DE_MAINE,,1
FUNAUL-E,211846,"FUNAULT",,47.534550,-0.456580,,,0,zone_FUNAULT,,0
